Segment	Ramp/Plateau	Ramp/Plateau #	Well	Dye	Cycle #	Fluorescence	Temperature
1	R	3	3	SYBR	1	63947	64
1	R	3	3	SYBR	1	63944	64.2
1	R	3	3	SYBR	1	63883	64.2
1	R	3	3	SYBR	1	63963	64.5
1	R	3	3	SYBR	1	63840	64.5
1	R	3	3	SYBR	1	63980	64.7
1	R	3	3	SYBR	1	63876	64.7
1	R	3	3	SYBR	1	63889	65
1	R	3	3	SYBR	1	63724	65
1	R	3	3	SYBR	1	63884	65.2
1	R	3	3	SYBR	1	63878	65.2
1	R	3	3	SYBR	1	63891	65.5
1	R	3	3	SYBR	1	63797	65.5
1	R	3	3	SYBR	1	63792	65.7
1	R	3	3	SYBR	1	63804	65.7
1	R	3	3	SYBR	1	63716	65.9
1	R	3	3	SYBR	1	63634	66
1	R	3	3	SYBR	1	63590	66.2
1	R	3	3	SYBR	1	63761	66.2
1	R	3	3	SYBR	1	63690	66.4
1	R	3	3	SYBR	1	63738	66.5
1	R	3	3	SYBR	1	63572	66.7
1	R	3	3	SYBR	1	63539	66.7
1	R	3	3	SYBR	1	63591	66.9
1	R	3	3	SYBR	1	63509	67
1	R	3	3	SYBR	1	63457	67
1	R	3	3	SYBR	1	63501	67.2
1	R	3	3	SYBR	1	63377	67.4
1	R	3	3	SYBR	1	63355	67.5
1	R	3	3	SYBR	1	63366	67.5
1	R	3	3	SYBR	1	63375	67.7
1	R	3	3	SYBR	1	63341	67.9
1	R	3	3	SYBR	1	63247	68
1	R	3	3	SYBR	1	63186	68
1	R	3	3	SYBR	1	63201	68.2
1	R	3	3	SYBR	1	63109	68.4
1	R	3	3	SYBR	1	63120	68.5
1	R	3	3	SYBR	1	63116	68.5
1	R	3	3	SYBR	1	62940	68.7
1	R	3	3	SYBR	1	63012	68.7
1	R	3	3	SYBR	1	62993	69
1	R	3	3	SYBR	1	62934	69
1	R	3	3	SYBR	1	62861	69.2
1	R	3	3	SYBR	1	62880	69.2
1	R	3	3	SYBR	1	62736	69.5
1	R	3	3	SYBR	1	62782	69.5
1	R	3	3	SYBR	1	62723	69.7
1	R	3	3	SYBR	1	62677	69.7
1	R	3	3	SYBR	1	62746	69.9
1	R	3	3	SYBR	1	62593	70
1	R	3	3	SYBR	1	62648	70.2
1	R	3	3	SYBR	1	62591	70.2
1	R	3	3	SYBR	1	62490	70.4
1	R	3	3	SYBR	1	62447	70.5
1	R	3	3	SYBR	1	62551	70.7
1	R	3	3	SYBR	1	62512	70.7
1	R	3	3	SYBR	1	62372	70.9
1	R	3	3	SYBR	1	62420	71
1	R	3	3	SYBR	1	62280	71
1	R	3	3	SYBR	1	62299	71.2
1	R	3	3	SYBR	1	62390	71.4
